system,source_type,url_or_doi,what_it_supports
Amazon Finance Automation Q&A (Bedrock),"AWS ML Blog (Dec 2, 2024)",https://aws.amazon.com/blogs/machine-learning/how-amazon-finance-automation-built-a-generative-ai-qa-chat-assistant-using-amazon-bedrock/,Bedrock-based RAG assistant; pipeline and guardrails at high level
Amazon Finance Automation Q&A (Bedrock),"AWS ML Blog (Aug 28, 2025)",https://aws.amazon.com/blogs/machine-learning/how-amazon-finance-built-an-ai-assistant-using-amazon-bedrock-and-amazon-kendra-to-support-analysts-for-data-discovery-and-business-insights/,Updated design with Bedrock + Kendra for analysts
JPMorgan COiN (Contract Intelligence),Bloomberg (news),https://www.bloomberg.com/news/articles/2017-02-28/jpmorgan-marshals-an-army-of-developers-to-automate-high-finance,COiN overview; automation of contract review (batch orientation)
JPMorgan COiN (Contract Intelligence),ABA Journal (summary),https://www.abajournal.com/news/article/jpmorgan_chase_uses_tech_to_save_360000_hours_of_annual_work_by_lawyers_and,Secondary confirmation of COiN’s function/timesavings
Morgan Stanley – AskResearchGPT,Press release,https://www.morganstanley.com/press-releases/morgan-stanley-research-announces-askresearchgpt,Research assistant using OpenAI; internal content access
Morgan Stanley – Debrief,Press release,https://www.morganstanley.com/press-releases/ai-at-morgan-stanley-debrief-launch,Debrief launch; meeting summarization; adoption metrics
HSBC internal policy chatbot (Dialogflow),Google Cloud Blog,https://cloud.google.com/blog/products/ai-machine-learning/hsbc-builds-an-internal-chatbot-to-answer-questions-on-policies,Internal policy chatbot using Dialogflow; Google Cloud
HSBC internal policy chatbot (Dialogflow),Bank Automation News,https://bankautomationnews.com/allposts/core/hsbc-launches-internal-chatbot-built-with-google-cloud-ai/,Trade press summary of the Google Cloud post
ING generative assistant (ING–McKinsey),McKinsey case article,https://www.mckinsey.com/industries/financial-services/how-we-help-clients/banking-on-innovation-how-ing-uses-generative-ai-to-put-people-first,Multi-step retrieval and ranking; guardrails
ING generative assistant (ING–McKinsey),McKinsey interview (2025),https://www.mckinsey.com/industries/financial-services/our-insights/deploying-ai-at-speed-and-scale-talking-with-ings-marnix-van-stiphout,Deployment discussion incl. governance and scaling
NatWest Cora / Cora+,NatWest press release,https://www.natwestgroup.com/news-and-insights/news-room/press-releases/data-and-technology/2024/jun/natwest-launches-cora-plus-the-latest-generative-ai-upgrade-to-t.html,Cora+ launch; IBM collaboration; generative upgrade
NatWest Cora / Cora+,IBM newsroom,https://newsroom.ibm.com/2023-11-06-NatWest-and-IBM-Collaborate-on-Generative-AI-Initiative-to-Enhance-Customer-Experience,IBM/NatWest collaboration and goals
FHIR Security & Privacy guidance,HL7 (core security page),https://build.fhir.org/security.html,"Baseline for A1: authN/Z, audit, transport security"
HIPAA Security Rule,HHS (official),https://www.hhs.gov/hipaa/for-professionals/security/laws-regulations/index.html,Baseline for A2: safeguards; encryption/MFA trend (see NPRM updates separately)
GDPR Article 32 (Security of processing),EUR-Lex (official),https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX%3A32016R0679,Baseline for A2 in EU contexts
Azure API for FHIR – RBAC,Microsoft Docs,https://learn.microsoft.com/en-us/azure/healthcare-apis/azure-api-for-fhir/configure-azure-rbac,Access control example (A1/A4)
Google Cloud Healthcare API – FHIR access control,Google Docs,https://cloud.google.com/healthcare-api/docs/fhir-access-control,Access control example (A1/A4)
AWS Security Blog – RAG hardening,AWS Security Blog,https://aws.amazon.com/blogs/security/hardening-the-rag-chatbot-architecture-powered-by-amazon-bedrock-blueprint-for-secure-design-and-anti-pattern-migration/,A6 patterns: secure RAG design and auditing
AWS ML Blog – Protect sensitive data in RAG,AWS ML Blog,https://aws.amazon.com/blogs/machine-learning/protect-sensitive-data-in-rag-applications-with-amazon-bedrock/,A6 patterns: redaction & role-based access for RAG
